"datastorename";"folder";"identifier";"identifier2";"identifier3";"parent_identifier";"master_folder";"master_identifier";"shop";"productNumber";"name";"description";"priceGross";"countryTax";"priceNet";"measureUnit";"measureQuantity";"baseMeasureUnit";"baseMeasureQuantity";"categories";"images";"keywords";"stock";"ean";"active";"force_images_update";"categories";"createdAt";"lastupdatedAt";"lastContentChangedAt";"processedAt";"processingstatus";"valid"
"products";"default";"Almahaba Supermarkt_1";"";"";"";"";"";"Almahaba Supermarkt";"1";"Red Bull Energy Drink 250 ml";"Herkunft: Österreich. Zutaten: Wasser, Saccharose, Glucose, Säureregulator Natriumcitrate, Kohlensäure, Taurin (0,4%), Glucuronolacton (0,24%), Koffein (0,03%), Inosit, Vitamine (Niacin, Pantothensäure, B6,B12), Aroma, Farbstoffe (einfache Zuckerkulör, Riboflavin).";"1.00";"7";"0.93";"ml";"250";"l";"1";"724";"http://s914789466.online.de/bzd_bilder/Red Bull Energy Drink 250 ml.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink";"";"";"true";"true";"";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Almahaba Supermarkt_2";"";"";"";"";"";"Almahaba Supermarkt";"2";"Mandarin Veneto 330 ml";"Name: مندرين فينتو Herkunft: Türkei. Zutaten: Wasser, Fruktose, Glukose, sirup, Kohlendioxid, Säureregulator (ZitronenSäure), Farbstoffe (schwarzes Karottensaftkonzentrat), Ammonium -sulfite- karamell), Aromen, Konservierungsmittel ( Natriumbenzoat).  Tip: Nach dem Öffnen gekühlt bei maximal 7°C für maximal 3 Tage in einem geschlossenen Behälter aufbewahren. (Fleischerzeugnis nicht in der geöffneten Konservendose aufbewahren).";"1.00";"7";"0.93";"ml";"330";"l";"1";"724";"http://s914789466.online.de/bzd_bilder/Mandarin Veneto 330 ml.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink";"";"";"true";"true";"";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Almahaba Supermarkt_3";"";"";"";"";"";"Almahaba Supermarkt";"3";"Hot Blood Energy Drink 250 ml";"Herkunft: Deutschland. Zutaten: Wasser, Zucker, Dextrose, Säuerungsmittel: Zitronensäure, Kohlensäure, Taurin (0,4%)  Säueregulatoren: Natriumcitrate, Magnesiumcarbonate, Aroma, Koffein (0,024), Farbstoffe: Ammonsulfiz-Zuckerkulör, Riboflavine Vitamine: Niacin, Pantothensäure, VitaminB6, Vitamin B12  Inosit (0,01%). Tip: Trocken und vor Wärme geschützt lagern.";"1.00";"7";"0.93";"ml";"250";"l";"1";"724";"http://s914789466.online.de/bzd_bilder/Hot Blood Energy Drink 250 ml.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink";"";"";"true";"true";"";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Almahaba Supermarkt_4";"";"";"";"";"";"Almahaba Supermarkt";"4";"Peison Energy Drink 250 ml";"Herkunft: Türkei. Zutaten: Kohlensäurehaltiges Wasser, Zucker, Säure (Zitronensäure), Koffein, Taurin, Glucuronolacton, Inositol, natürliche Farbstoffe (Karamell E150c, Riboflavin E101), naturidentisches Rote-Beere-Aroma, Konservierungsstoff (Natriumbonzoat, Kaliumsorbat), Niacin, Pamothensäure, Vitamin B6, Vitamin B12. Tip: Trocken und vor Wärme geschützt lagern.";"1.00";"7";"0.93";"ml";"250";"l";"1";"724";"http://s914789466.online.de/bzd_bilder/Peison Energy Drink 250 ml.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink, Malzgetränk, Eistee, Eiskaffee";"";"";"true";"true";"";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.744";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Almahaba Supermarkt_10";"";"";"";"";"";"Almahaba Supermarkt";"10";" Barbican Malzgeschmack alkoholfreie Getränke 6 x 330ml 6 Stk";"Name: بربيكان بنكهة الشعير Herkunft:UAE. Zutaten: Wasser mit Kohlensäure, Malzkonzentrat, Zucker, naturidentische Malz- und Hopfenaromen, Salz, Säuerungsmittel: E330, Antioxidationsmittel: E300, Hopfen enthält Gluten. Tip: für längere Haltbarkeit, Kühl und Trocken lagern.";"5.00";"7";"4.67";"stk";"330";"stk";"1";"724";"http://s914789466.online.de/bzd_bilder/ Barbican Malzgeschmack alkoholfreie Getränke 6 x 330ml 6 Stk.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink, Malzgetränk, Eistee, Eiskaffee";"";"";"true";"true";"";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Almahaba Supermarkt_10";"";"";"";"";"";"Almahaba Supermarkt";"10";" Barbican Malzgeschmack alkoholfreie Getränke 6 x 330ml 6 Stk";"Name: بربيكان بنكهة الشعير Herkunft:UAE. Zutaten: Wasser mit Kohlensäure, Malzkonzentrat, Zucker, naturidentische Malz- und Hopfenaromen, Salz, Säuerungsmittel: E330, Antioxidationsmittel: E300, Hopfen enthält Gluten. Tip: für längere Haltbarkeit, Kühl und Trocken lagern.";"5.00";"7";"4.67";"stk";"330";"stk";"1";"724";"http://s914789466.online.de/bzd_bilder/ Barbican Malzgeschmack alkoholfreie Getränke 6 x 330ml 6 Stk.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink, Malzgetränk, Eistee, Eiskaffee";"";"";"true";"true";"";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Almahaba Supermarkt_5";"";"";"";"";"";"Almahaba Supermarkt";"5";"Rockstar Energy Drink Freeze Wassermelone 500 ml";"Herkunft: Deutschland. Zutaten: Wasser, Zucker, Dextrose, Kohlensäure, Säuerungsmittel Citronensäure, Taurin (0,4%), Aroma, Koffein (0,032%), Stabilisatoren (Gummi arabicum, Glycerinester aus Wurzelharz), Glucuronolacton (0,024%), modifizierte Stärke, Antioxidationsmittel Ascorbinsäure, Ginseng-Aromaextrakt (0,01%), Guarana-Extrakt (0,01%), Inosit (0,01%), Niacin, Pantothenat, Vitamin B6, Farbstoff Beta-Carotin, Vitamin B12. Tip: Trocken und vor Wärme geschützt lagern.";"1.00";"7";"0.93";"ml";"500";"l";"1";"724";"http://s914789466.online.de/bzd_bilder/Rockstar Energy Drink Freeze Wassermelone 500 ml.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink, Malzgetränk, Eistee, Eiskaffee";"";"";"true";"true";"";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Almahaba Supermarkt_6";"";"";"";"";"";"Almahaba Supermarkt";"6";"Rockstar Energy Drink 500 ml";"Herkunft: Deutschland. Zutaten: Wasser, Zucker, Dextrose, Kohlensäure, Säuerungsmittel Citronensäure, Taurin (0,4%), Aroma, Koffein (0,032%), Stabilisatoren (Gummi arabicum, Glycerinester aus Wurzelharz), Glucuronolacton (0,024%), modifizierte Stärke, Antioxidationsmittel Ascorbinsäure, Ginseng-Aromaextrakt (0,01%), Guarana-Extrakt (0,01%), Inosit (0,01%), Niacin, Pantothenat, Vitamin B6, Farbstoff Beta-Carotin, Vitamin B12. Tip: Trocken und vor Wärme geschützt lagern.";"1.00";"7";"0.93";"ml";"500";"l";"1";"724";"http://s914789466.online.de/bzd_bilder/Rockstar Energy Drink 500 ml.jpg";"Getränke, Erfischungsgetränke, Saft, Cola, Sirup, alkoholfrei, Fanta, Sprite, Wasser, Energy Drink, Malzgetränk, Eistee, Eiskaffee";"";"";"true";"true";"";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.745";"2022-07-08 13:13:50.740";"";"UNPROCESSED";"true"
"products";"default";"Malandra_3";"";"";"";"";"";"Malandra";"3";"Malandra Set - Crystal & Oak (2x 500ml, 40%vol.)";"Das Malandra Set wird mit einer Flasche Malandra Crystal (500mL, 40%vol., 79,98/L) und einer Flasche Malandra Oak (500mL, 40%vol., 91,98/L) geliefert.  Malandra Crystal hat den ursprünglichen brasilianischen Geist. Hergestellt auf dem Land in Brasilien und destilliert aus dem frischen Saft von Zuckerrohr, ist dieser Malandra frisch und sanft. Malandra Crystal verbrachte 6 (sechs) Monate in Fässern aus rostfreiem Stahl und 1 (ein) Jahr in Holzfässern aus Cariniana, einem einheimischen brasilianischen Baum, der keine Farbe, sondern fruchtige Noten verleiht. Erwarten Sie einen klaren Cachaça, mit Zuckerrohr- und Fruchtnoten.  Malandra Oak ist eine Kombination aus Brasilien und Europa. In den ländlichen Gebieten Brasiliens hergestellt und aus dem frischen Saft des Zuckerrohrs destilliert, ist diese Malandra weich und rund. Die Malandra Oak ist in zwei Fässern abgefüllt. Sie verbrachte 6 (sechs) Monate in Fässern aus rostfreiem Stahl, 1 (ein) Jahr in Holzfässern aus Cariniana (brasilianischer einheimischer Baum) und dann 1 (ein) Jahr in europäischen Eichenfässern. Da es sich nicht um eine Mischung handelt, hat die Malandra Oak eine doppelte Schicht von Noten: die fruchtige Note des Cariniana-Holzfasses und Noten von Vanille, Kirsche und Eiche aus dem europäischen Eichenfass. Wir empfehlen, ihn pur oder zu Cocktails und Longdrinks zu trinken.";"67.14";"19";"56.42";"ml";"1000";"";"1";"709";"http://s914789466.online.de/bzd_bilder/3.jpg";"";"3";"7898957893010 and 7898957893003";"true";"true";"";"2022-07-08 13:13:50.829";"2022-07-08 13:13:50.829";"2022-07-08 13:13:50.744";"";"UNPROCESSED";"true"
"products";"default";"Malandra_4";"";"";"";"";"";"Malandra";"4";"Malandra Tasting Set Single - Crystal + Oak (2x 50ml, 40%vol.)";"Das Malandra Tasting Set wird mit einer Flasche Malandra Crystal (50mL, 40%vol.),  einer Flasche Malandra Oak (50mL, 40%vol.) und ein Ebook mit Tasting Tips geliefert.  > Malandra Crystal hat den ursprünglichen brasilianischen Geist. Hergestellt auf dem Land in Brasilien und destilliert aus dem frischen Saft von Zuckerrohr, ist dieser Malandra frisch und sanft. Malandra Crystal verbrachte 6 (sechs) Monate in Fässern aus rostfreiem Stahl und 1 (ein) Jahr in Holzfässern aus Cariniana, einem einheimischen brasilianischen Baum, der keine Farbe, sondern fruchtige Noten verleiht. Erwarten Sie einen klaren Cachaça, mit Zuckerrohr- und Fruchtnoten. > Malandra Oak ist eine Kombination aus Brasilien und Europa. In den ländlichen Gebieten Brasiliens hergestellt und aus dem frischen Saft des Zuckerrohrs destilliert, ist diese Malandra weich und rund. Die Malandra Oak ist in zwei Fässern abgefüllt. Sie verbrachte 6 (sechs) Monate in Fässern aus rostfreiem Stahl, 1 (ein) Jahr in Holzfässern aus Cariniana (brasilianischer einheimischer Baum) und dann 1 (ein) Jahr in europäischen Eichenfässern. Da es sich nicht um eine Mischung handelt, hat die Malandra Oak eine doppelte Schicht von Noten: die fruchtige Note des Cariniana-Holzfasses und Noten von Vanille, Kirsche und Eiche aus dem europäischen Eichenfass. Wir empfehlen, ihn pur oder zu Cocktails und Longdrinks zu trinken. > Booklet über die Geschichte des Cachaça, Produktionsmethoden, zur Alterung von Malandra verwendete Hölzer, sensorische Bewertung, Paarung von Malandra und Cocktailrezepten.";"16.72";"19";"14.05";"ml";"100";"";"1";"709";"http://s914789466.online.de/bzd_bilder/4.jpg";"";"3";"-";"true";"true";"";"2022-07-08 13:13:50.829";"2022-07-08 13:13:50.829";"2022-07-08 13:13:50.744";"";"UNPROCESSED";"true"
